	tag_info	osm_id	osm_title	description
0	religion	Q640	Item:Q640	Defines the specific religion.
1	iata	Q344	Item:Q344	Indicates the IATA airport code
2	dog	Q243	Item:Q243	Describes if dogs are allowed
3	sport=field_hockey	Q6732	Item:Q6732	Field Hockey
4	junction=roundabout	Q4741	Item:Q4741	A road junction where the traffic goes around a non-traversable island and has right of way.
5	sport=rugby	Q7394	Item:Q7394	Rugby football.
6	sport=car_racing	Q18587	Item:Q18587	
7	sport=rugby_union	Q7481	Item:Q7481	Rugby union football
8	sport=water_polo	Q6293	Item:Q6293	A competitive ball sport played in a pool between two teams.
9	amenity=shower	Q5876	Item:Q5876	Public showers, where people can bathe under water sprays
10	natural=peak	Q4881	Item:Q4881	The top (summit) of a hill or mountain.
11	sport=judo	Q5250	Item:Q5250	Judo: a modern Japanese martial art, combat and Olympic sport.
12	frequency	Q291	Item:Q291	For describing the frequency of electric power supply networks, electrified railways or buses, and communications devices. The unit is hertz (cycles per second).
13	restaurant	Q646	Item:Q646	Specifies whether a facility (such as a hotel) has a restaurant or not, usually.
14	amenity=restaurant	Q4819	Item:Q4819	A restaurant sells full sit-down meals with servers, and may sell alcohol.
15	building=tower	Q16370	Item:Q16370	
16	man_made=tower	Q6984	Item:Q6984	A tower is a free-standing structure which is higher than it is wide.
17	amenity=chair	Q18263	Item:Q18263	A permanently fixed chair.
18	amenity=stool	Q6203	Item:Q6203	A permanently fixed stool.
19	amenity=hospital	Q4941	Item:Q4941	A hospital providing in-patient medical treatment
20	healthcare=hospital	Q19776	Item:Q19776	A hospital providing in-patient medical treatment
21	sport=climbing	Q4970	Item:Q4970	Marks elements to represent natural climbing sites (climbing areas, sectors, crags, halls, frozen waterfalls, etc.) or artificial climbs (climbing walls, indoor climbing etc.)
22	healthcare:speciality=humanistic	Q21921	Item:Q21921	Healthcare specialty within psychotherapy that encourages a self-awareness and mindfulness helping the patient change their state of mind and behaviour to a healthier set of reactions with more productive self-awareness and thoughtful actions.
