wikiData	wikiDataLabel	tagInfo	tagClassLabel	mainCategoryLabel
http://www.wikidata.org/entity/P140	religion or worldview	Key:religion	personal data	
http://www.wikidata.org/entity/P140	religion or worldview	Key:religion	Wikidata property for items about people	
http://www.wikidata.org/entity/P140	religion or worldview	Key:religion	Wikidata property related to religions and beliefs	
http://www.wikidata.org/entity/P238	IATA airport code	Key:iata	Wikidata property to identify architectural structures	
http://www.wikidata.org/entity/P238	IATA airport code	Key:iata	Wikidata property related to airports	
http://www.wikidata.org/entity/P238	IATA airport code	Key:iata	Wikidata property for an identifier value that can be re-assigned	
http://www.wikidata.org/entity/Q144	dog	Key:dog	clade	Category:Dogs
http://www.wikidata.org/entity/Q144	dog	Key:dog	organisms known by a particular common name	Category:Dogs
http://www.wikidata.org/entity/Q183	Germany	Tag:addr:country=DE	sovereign state	Category:Germany
http://www.wikidata.org/entity/Q514	anatomy	Tag:healthcare:speciality=anatomy	branch of biology	Category:Anatomy
http://www.wikidata.org/entity/Q716	titanium	Tag:material=titanium	chemical element	Category:Titanium
http://www.wikidata.org/entity/Q716	titanium	Tag:material=titanium	homonuclear species	Category:Titanium
http://www.wikidata.org/entity/Q1455	field hockey	Tag:sport=field_hockey	type of sport	Category:Field hockey
http://www.wikidata.org/entity/Q1455	field hockey	Tag:sport=field_hockey	team sport	Category:Field hockey
http://www.wikidata.org/entity/Q1525	roundabout	Tag:junction=roundabout		Category:Roundabouts
http://www.wikidata.org/entity/Q5378	rugby	Tag:sport=rugby	type of sport	Category:Rugby football
http://www.wikidata.org/entity/Q5386	auto racing	Tag:sport=car_racing	type of sport	Category:Auto racing
http://www.wikidata.org/entity/Q5386	auto racing	Tag:sport=car_racing	sports discipline	Category:Auto racing
http://www.wikidata.org/entity/Q5849	rugby union	Tag:sport=rugby	sports discipline	Category:Rugby union
http://www.wikidata.org/entity/Q5849	rugby union	Tag:sport=rugby_union	sports discipline	Category:Rugby union
http://www.wikidata.org/entity/Q7707	water polo	Tag:sport=water_polo	type of sport	Category:Water polo
http://www.wikidata.org/entity/Q7863	shower	Tag:amenity=shower		Category:Showers
http://www.wikidata.org/entity/Q8502	mountain	Tag:natural=peak		Category:Mountains
http://www.wikidata.org/entity/Q9174	religion	Key:religion	type of world view	Category:Religion
http://www.wikidata.org/entity/Q9174	religion	Key:religion	type of world view	Q33097702
http://www.wikidata.org/entity/Q9174	religion	Key:religion	type of world view	Q33098684
http://www.wikidata.org/entity/Q9174	religion	Key:religion	type of world view	Q106843235
http://www.wikidata.org/entity/Q10962	rugby league	Tag:sport=rugby	ball game	Category:Rugby league
http://www.wikidata.org/entity/Q11420	judo	Tag:sport=judo	type of sport	Category:Judo
http://www.wikidata.org/entity/Q11652	frequency	Key:frequency		Category:Frequency
http://www.wikidata.org/entity/Q11707	restaurant	Key:restaurant	hyperlocal manufacturing	Category:Restaurants
http://www.wikidata.org/entity/Q11707	restaurant	Tag:amenity=restaurant	hyperlocal manufacturing	Category:Restaurants
http://www.wikidata.org/entity/Q11707	restaurant	Key:restaurant	semantic frame	Category:Restaurants
http://www.wikidata.org/entity/Q11707	restaurant	Tag:amenity=restaurant	semantic frame	Category:Restaurants
http://www.wikidata.org/entity/Q12518	tower	Tag:building=tower		Category:Towers
http://www.wikidata.org/entity/Q12518	tower	Tag:man_made=tower		Category:Towers
http://www.wikidata.org/entity/Q12544	Byzantine Empire	Tag:historic:civilization=byzantine	historical country	Category:Byzantine Empire
http://www.wikidata.org/entity/Q12544	Byzantine Empire	Tag:historic:civilization=byzantine	historical period	Category:Byzantine Empire
http://www.wikidata.org/entity/Q12567	Vikings	Tag:historic:civilization=vikingian	culture	Category:Vikings
http://www.wikidata.org/entity/Q12567	Vikings	Tag:historic:civilization=vikingian	style	Category:Vikings
http://www.wikidata.org/entity/Q12567	Vikings	Tag:historic:civilization=vikingian	people	Category:Vikings
http://www.wikidata.org/entity/Q12567	Vikings	Tag:historic:civilization=vikingian	historical period	Category:Vikings
http://www.wikidata.org/entity/Q14378	neoclassicism	Tag:building:architecture=neoclassicism	architectural style	Category:Neoclassicism
http://www.wikidata.org/entity/Q14378	neoclassicism	Tag:building:architecture=neoclassicism	art movement	Category:Neoclassicism
http://www.wikidata.org/entity/Q14378	neoclassicism	Tag:building:architecture=neoclassicism	style	Category:Neoclassicism
http://www.wikidata.org/entity/Q14378	neoclassicism	Tag:building:architecture=neoclassicism	art style	Category:Neoclassicism
http://www.wikidata.org/entity/Q15026	chair	Tag:amenity=chair		Category:Chairs
http://www.wikidata.org/entity/Q15026	chair	Tag:amenity=stool		Category:Chairs
http://www.wikidata.org/entity/Q16917	hospital	Tag:amenity=hospital		Category:Hospitals
http://www.wikidata.org/entity/Q16917	hospital	Tag:healthcare=hospital		Category:Hospitals
